代號,名稱,EPS,DividendYield,CashDividend,StockDividend
3008,大立光,129.167,1.7679999999999996,40.45,
6669,緯穎,16.328333333333333,,,
4966,譜瑞-KY,20.016,1.76875,6.624999999999999,
6488,環球晶,13.78,4.558,9.64,
3293,鈊象,12.107000000000001,5.341000000000001,7.828999999999999,
6409,旭隼,15.276,3.28,14.442857142857141,
6415,矽力-KY,12.328,0.9133333333333332,4.3966666666666665,
1565,精華,27.203999999999997,3.78,20.634999999999998,
3406,玉晶光,6.251999999999999,,,
5274,信驊,13.192222222222222,2.167142857142857,9.3125,
2227,裕日車,18.493000000000002,6.502222222222223,16.86,
8299,群聯,19.369999999999997,4.354000000000001,10.176,
2207,和泰車,16.478,3.2989999999999995,9.809999999999999,
6121,新普,12.913,4.523,7.13,
3533,嘉澤,12.035000000000002,4.1739999999999995,5.069000000000001,
3563,牧德,8.048,4.901,5.948000000000001,
5904,寶雅,10.132000000000001,3.382,7.1129999999999995,0.33125
5536,聖暉,13.484,7.065,8.850999999999999,
6510,精測,15.347142857142856,,6.25,
4137,麗豐-KY,11.5125,3.8228571428571425,7.748571428571429,
3611,鼎翰,13.437999999999999,4.795,8.298,
8070,長華,10.778000000000002,6.212000000000001,7.0,
8436,大江,7.350999999999999,0.9742857142857142,1.7822222222222222,1.891111111111111
6670,復盛應用,12.159999999999998,,,
2915,潤泰全,13.710000000000003,4.382,2.9490000000000003,
2059,川湖,14.165000000000001,2.4050000000000002,7.028999999999999,
2327,國巨,6.6850000000000005,4.489999999999999,11.464999999999998,
2357,華碩,21.69,5.638999999999999,14.827000000000002,
1256,鮮活果汁-KY,9.599,2.625,4.0575,
5269,祥碩,6.528999999999999,1.7950000000000002,4.05625,
1476,儒鴻,11.172,2.731,6.75,0.43999999999999995
3665,貿聯-KY,8.784,4.826666666666666,5.0,
2729,瓦城,12.422,4.16125,9.486999999999998,
5278,尚凡,4.225,,,
8464,億豐,11.584285714285715,,,
8437,大地-KY,10.561428571428573,2.8760000000000003,5.27,
2404,漢唐,6.494,8.133,4.167999999999999,
2454,聯發科,18.084999999999997,4.5,14.05,
6613,朋億,12.1,,,
2474,可成,19.669999999999998,3.3330000000000006,7.158000000000001,
1590,亞德客-KY,10.964,2.1899999999999995,5.178888888888888,
5287,數字,13.330000000000002,4.838571428571428,11.362222222222222,
1264,德麥,12.783333333333335,4.89,9.916666666666666,
4439,冠星-KY,13.92,,,
2492,華新科,3.638000000000001,2.848,4.522,
4420,光明,3.832,5.344,1.3649999999999998,
2379,瑞昱,6.919,4.6850000000000005,4.455,
2330,台積電,9.986000000000002,3.308,5.3,
6414,樺漢,9.745555555555555,2.3957142857142855,6.7942857142857145,
3034,聯詠,9.392999999999999,5.621,6.8889999999999985,
8406,金可-KY,12.970000000000002,1.9775,5.73375,
5289,宜鼎,8.459,4.305714285714286,3.8400000000000003,0.8433333333333333
6176,瑞儀,9.082,6.1209999999999996,5.389999999999999,
6462,神盾,4.1025,,,
2439,美律,7.973999999999999,5.900999999999999,5.546,
1537,廣隆,8.98,6.11,6.261,
6803,崑鼎,10.827000000000002,5.3629999999999995,8.905999999999999,
2929,淘帝-KY,11.265555555555556,4.321666666666667,4.6066666666666665,
3324,雙鴻,4.484999999999999,2.3775,1.32625,
5871,中租-KY,6.636,3.811111111111111,2.7544444444444447,
4803,VHQ-KY,8.031666666666666,,,
