代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
9188,精熙-DR,0.62,0.66,0.65,0.7,0.42,0.29,0.17,0.35,0.32,0.46
6523,達爾膚,0.45,2.5,6.6,3,6,,,,,
1439,中和,0,0,0.5,0.5,0.5,0.5,0.5,0.5,10,0
00837B,永豐15年金融債,1.7,,,,,,,,,
6125,廣運,0.51,0.3,0.5,0.5,0.5,0.5,0,0.2,0.91,0.5
2020,美亞,1.4,1.42,0.8,0,0.8,0.51,0.2,0,0.8,0.45
6186,新潤,1,1.5,2,3,2.5,3,1,0,0,0
1465,偉全,0.3,0.4,0.65,0.9,0.95,0.5,1,1.1,2.2,0.5
6292,迅德,2.3,2.3,3.2,2,3,3.2,2.5,1.5,2.9,1.6
5604,中連貨,3.75,1.5,1.8,3.2,1.8,1.8,1.5,1.4,1.96,1.18
8066,來思達,10,8,6,8,4,0,0,0,0,0
2923,鼎固-KY,0.72,0.36,0.36,0.36,0.22,0.2,0.12,0,,
3056,總太,1.5,2,2.5,2.5,0.5,1.8,1,1,0,0
6197,佳必琪,2,1.68,1.2,2,2.23,1.2,0.8,0,0,0.3
2527,宏璟,1.2,0.8,0.8,1.1,1.5,0.8,0.65,0.8,0.4,0.3
5907,大洋-KY,1.69,1.2,0.97,0.52,3,3,3,0.46,,
1611,中電,0.15,1,0,0,0,0,0.2,1.2,1.28,1.2
8112,至上,3,2.8,2.48,0.94,1.1,0.67,0.4,1.19,1.46,1.07
5519,隆大,0.95,0.4,0.5,0.6,0.6,1,1.08,1.21,1.06,0.53
6596,寬宏藝術,2,3.5,2,,,,,,,
3028,增你強,1.7,1.82,1.5,1.7,1.7,1,1.3,2.1,1.6,1.19
3213,茂訊,2.8,4,3.4,3.1,3.1,2.6,2,4,4,6
6616,特昇-KY,1.8,1,0,,,,,,,
4560,強信-KY,3.47,2.48,1.6,0,,,,,,
6128,上福,2,0.5,2.8,3,2.8,2.25,1.7,2.5,2.75,3.2
4995,晶達,2.15,2.26,1.8,2.52,3,1.2,1,1.07,2,
00701,國泰股利精選30,0.47,0.17,,,,,,,,
2227,裕日車,17.67,21,22,12.5,30,19.47,13.3,10.2,5.6,0
1341,富林-KY,3,0,,,,,,,,
2467,志聖,2.5,1.5,0.5,0,1.3,1.5,1.5,1.81,2.04,1.24
6486,互動,4.8,3.2,3.5,3,4,,,,,
2548,華固,5,5.2,5.6,5.5,5,5.5,5,5.6,6.19,5.96
9136,巨騰-DR,0.39,0.3,0.38,0.62,0.59,0.58,0.46,0.3,0.3,0.32
