代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
9188,精熙-DR,19,14.6,12.8,17.7,10.6,8.37,6.08,11.6,10.3,5.31
6523,達爾膚,0.44,3.79,7.89,0.98,,,,,,
1439,中和,0,0,2.42,3.17,3.72,3.42,3.25,3.38,48.8,0
00837B,永豐15年金融債,4.13,,,,,,,,,
6125,廣運,3.19,3.33,3.98,4.72,4.03,3.5,0,2.03,7.77,2.06
2020,美亞,8.97,10.1,5.71,0,6.48,3.59,1.42,0,6.06,1.8
6186,新潤,3.13,8.93,13.2,13.4,11.4,10.7,2.58,0,0,0
1465,偉全,1.97,2.81,4.28,7.11,6.42,2.94,6.17,8.73,16.7,2.84
6292,迅德,6.66,7.88,10.1,6.9,10.8,11,7.44,6.68,12,4.73
5604,中連貨,9.51,5.04,6.1,10.5,5.09,4.6,5.34,5.4,8.03,4.08
8066,來思達,12,7.8,5.02,8,3.94,0,0,0,0,0
2923,鼎固-KY,2.66,1.88,1.96,1.69,1.03,0.7,0.46,0,,
3056,總太,4.75,12.4,13,14,3.94,9.33,3.06,4.36,0,0
6197,佳必琪,6.07,6.24,3.81,7.07,7.84,3.85,3.01,0,0,0.43
2527,宏璟,5.31,3.57,3.24,5.76,8.96,3.85,3.59,6.13,3.54,1.57
5907,大洋-KY,6.01,3.66,4.23,2.43,10.8,5.42,4.85,0.54,,
1611,中電,1.35,11,0,0,0,0,1.4,7.02,6.95,4.96
8112,至上,9.95,10.4,8.29,3.76,8.49,3.97,2.68,10.2,9.96,4.69
5519,隆大,5.73,3.23,4.81,5.74,4.36,4.52,3.6,4.22,4.17,1.42
6596,寬宏藝術,2.86,4.8,2.76,,,,,,,
3028,增你強,8.06,8.67,7.48,10,10.8,5.76,6.8,11.9,8.41,5.58
3213,茂訊,5.91,10.8,6.02,8.15,7.21,6.16,4.88,12.2,7.42,9.04
6616,特昇-KY,4.88,6.78,,,,,,,,
4560,強信-KY,6.69,4.95,3.33,,,,,,,
6128,上福,6.54,1.75,7.1,7.16,8.24,6.66,5.41,9.71,10.8,8.91
4995,晶達,4.41,6.89,4.73,8.2,7.59,2.29,4.57,4.67,9.29,
00701,國泰股利精選30,1.98,0.81,,,,,,,,
2227,裕日車,6.16,9.19,8.26,6.36,10.7,5.85,3.15,4.53,4.32,0
1341,富林-KY,4.86,0,,,,,,,,
2467,志聖,9.36,5.74,1.81,0,10.4,6.61,7.3,9.87,12.2,4.66
6486,互動,6.03,7.02,8.09,7.46,10,,,,,
2548,華固,5.4,7.64,8.07,9.09,8.49,9.65,5.94,7.91,10.1,6.74
9136,巨騰-DR,5.04,3.66,3.89,6.14,3.76,3.79,2.4,2.24,4.5,1.57
8049,晶采,9.41,7.52,7.67,6.64,2.96,1.3,0,0,0,0
6005,群益證,3.56,2.23,3.19,5.06,6.05,4.31,1.36,2.24,2.87,0.64
2488,漢平,7.4,6.4,11.7,5.07,6.56,9.41,1.96,6,12.6,4.35
3441,聯一光,4.71,6.85,2.97,0,5.29,2.6,6.86,2.39,2.17,1.22
6248,沛波,0,5.11,3.02,3.22,0,0,0,0,0,0
5283,禾聯碩,8.33,6.93,3.3,1.31,4.26,4.98,2.82,3.74,,
3071,協禧,5.96,5.2,0,0,0,0,2.89,2.57,0,0
6026,福邦證,2.13,17.1,2.67,3.14,4.65,,,,,
6204,艾華,4.12,6.04,4.32,3.47,4.41,4.52,4.07,7.1,9.69,6.02
5522,遠雄,7.44,7.25,11.8,9.47,11.1,3.97,6.93,9.21,12.6,7.64
6176,瑞儀,5.83,5.68,6.36,8.01,7.29,6.9,7.34,5.44,4.39,3.97
5353,台林,5.89,4.14,3.21,2.69,4.25,4.14,2.36,6.13,3.75,3.83
6671,三能-KY,8.2,9.2,,,,,,,,
8924,大田,2.54,18.5,0,0,0,0,2.48,3.35,0,6.35
8048,德勝,5.71,8.49,6.26,10.1,3.46,1.67,2.51,3.25,1.79,1.05
2546,根基,7.98,7.93,7.18,5.85,10.1,6.39,6.19,3.89,20.4,9.74
1336,台翰,5.15,3.97,0,0,0,0.55,0,3.13,5.45,0
5443,均豪,6.05,5.61,8.47,4.76,4.64,5.81,0,3.67,8.66,0
6108,競國,9.62,5.21,7.09,0,9.17,3.82,7.82,6.25,10.9,9.92
2063,世鎧,7.5,7.18,3.42,3.7,6.33,3.5,4.6,3.24,6.02,1.17
1604,聲寶,6.95,1.44,10.6,5.69,8.4,5.62,5.06,3.07,0.95,0
5356,協益,6.46,7.91,9.89,9.16,13.8,5.51,7.1,12.3,15,1.66
8424,惠普,7.06,6.85,6.67,7.68,6.38,3.7,1.18,4.48,4.9,
3531,先益,5.12,10,3.87,1.45,11.1,8.47,6.98,5.61,6.35,5.49
5534,長虹,8.61,8.03,7.83,4.46,8.35,9.59,10.9,6.49,12.4,4.9
2855,統一證,4.84,10.4,0,1.71,6.07,4.44,2.94,0,3.29,4.3
3171,新洲,3.59,3.52,1.81,0,0,0,0,0,0,0
6143,振曜,10.1,5.42,5.63,2.89,8.59,16.6,7.3,4.96,1.84,2.01
2477,美隆電,3.26,6.44,0,6.47,8.37,24.2,3.2,0,7.55,1.58
8942,森鉅,8.46,4.51,8.07,7.59,4.44,1.97,3.6,2.93,2.46,1.92
6266,泰詠,8.06,5.18,5.04,6.84,3.64,2.51,1.49,3.41,7.94,0
5511,德昌,6.82,4.97,2.52,2.54,10.9,9.6,4.83,1.94,1.73,4.51
6112,聚碩,4.37,4.96,5.1,5.61,7.55,5.5,8.06,7.16,6.91,5.47
6201,亞弘電,7.63,7.11,10.3,6.47,7.11,8.13,7.5,7.72,7.87,6.92
4916,事欣科,7.26,3.39,2.82,1.51,7.18,6.35,6.25,7.14,5.19,0
3580,友威科,7.04,10.8,0,0,0,0,0,0,2.99,1.4
6136,富爾特,7.5,10,8.37,8.81,9.91,8.86,10,12.2,12.8,6.71
4942,嘉彰,6.05,3.53,6.51,4.74,6.04,5.21,5.12,5.61,3.98,
2459,敦吉,6.89,8.4,6.05,7.02,7.9,3.79,6.41,7.38,9.84,4.57
2915,潤泰全,7.48,5.09,1.56,2.98,9.77,7.5,3.92,1.39,2.63,1.5
3088,艾訊,6.54,10.9,6.82,7.38,6.36,3.42,3.49,5.56,11.3,3.41
2348,海悅,6.8,7.78,0,0,1.87,0,0,0,0,0
2385,群光,4.27,7.11,5.67,5.73,6.44,5.2,5.47,5.96,8.06,5.38
4938,和碩,5.12,7.79,6.85,6.53,5.61,3.79,3.86,0,4.4,4.17
1434,福懋,6.14,5.5,4.79,4.07,4.67,3.18,2.77,4.29,7.13,2.82
6294,智基,7.84,7.21,7.48,3.19,0,0,0,0,0,0
2597,潤弘,7.72,4.78,10.5,12.3,18.6,10.8,3.09,3.62,7.66,7.5
4557,永新-KY,7.07,8.17,6.93,7.67,1.33,,,,,
8916,光隆,7.49,6.67,8.15,6.57,4.95,6.16,2.87,4.82,5.87,2.41
2433,互盛電,6.23,8.31,6.22,8.32,7.49,9.03,4.85,15.3,6.36,4.56
5410,國眾,6.45,8.04,7.46,9.24,9.56,6.64,5.14,5.66,5.69,0
8928,鉅明,3.94,6.54,6.3,9.84,5.01,0,0,0,0,4.93
2493,揚博,9.01,7.14,8.7,8.47,13.3,6.9,9.75,10.9,7.44,0
1608,華榮,0,7.93,0,0,0,6.83,6.03,0,4.81,4.1
3206,志豐,4.75,4.35,3.16,5.21,2.38,1.6,5.61,9.17,7.98,1.23
1464,得力,5.76,11.1,7.67,8.44,2.99,0,1.47,2.19,1.61,1.5
