"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","股利發放年度","最後成交價","所屬EPS","現金股利","股票股利","合計股利","現金殖利率","股票殖利率","合計殖利率","盈餘配息率","盈餘配股率","盈餘總分配率","現金股利發放日"
"1",="9188","精熙-DR","05/22","2.51","-0.07","-2.71","2018","4.52","","0.66","0","0.66","14.6","0","14.6","","","",""
"2",="6523","達爾膚","05/22","63.3","-0.8","-1.25","2018","66","2.78","2.5","0","2.5","3.79","0","3.79","90.1","0","90.1","18'08/31"
"3",="1439","中和","05/22","35.1","+0.3","+0.86","2018","33.55","-0.07","0","0","0","0","0","0","0","0","0",""
"4","00837B","永豐15年金融債","05/22","36.22","+0.64","+1.8","-","","","","","","","","","","","",""
"5",="6125","廣運","05/22","16.8","-0.05","-0.3","2018","9","-0.89","0.3","0","0.3","3.33","0","3.33","-33.7","0","-33.7",""
"6",="2020","美亞","05/22","17.7","-0.1","-0.56","2018","14.1","1.46","1.42","0","1.42","10.1","0","10.1","97.3","0","97.3","18'08/08"
"7",="6186","新潤","05/22","29.8","-0.05","-0.17","2018","16.8","0.08","1.5","0","1.5","8.93","0","8.93","1875","0","1875","18'09/19"
"8",="1465","偉全","05/22","15.2","-0.05","-0.33","2018","14.25","0.25","0.4","0","0.4","2.81","0","2.81","160","0","160","18'09/05"
"9",="6292","迅德","05/22","35.9","+0.15","+0.42","2018","29.2","2.58","2.3","0","2.3","7.88","0","7.88","89.2","0","89.2","18'09/03"
"10",="5604","中連貨","05/22","58.1","+0.5","+0.87","2018","29.75","0.79","1.5","0","1.5","5.04","0","5.04","190","0","190","18'07/12"
"11",="8066","來思達","05/22","62.9","-0.4","-0.63","2018","102.5","10.26","8","0","8","7.8","0","7.8","78","0","78","18'07/18"
"12",="2923","鼎固-KY","05/22","23.5","-0.65","-2.69","2018","19.1","0.08","0.36","0","0.36","1.88","0","1.88","450","0","450","18'09/25"
"13",="3056","總太","05/22","32.1","-0.05","-0.16","2018","16.1","3.24","2","0","2","12.4","0","12.4","61.7","0","61.7","18'08/07"
"14",="6197","佳必琪","05/22","32.15","-0.4","-1.23","2018","26.85","1.82","1.68","0","1.68","6.24","0","6.24","92.1","0","92.1","18'08/30"
"15",="2527","宏璟","05/22","19.4","-0.1","-0.51","2018","22.4","0.13","0.8","0","0.8","3.57","0","3.57","615","0","615","18'09/21"
"16",="5907","大洋-KY","05/22","23.75","-0.2","-0.84","2018","32.75","1.87","1.2","0","1.2","3.66","0","3.66","64.2","0","64.2","18'09/19"
"17",="1611","中電","05/22","13.1","-0.2","-1.5","2018","9.09","1.55","1","0","1","11","0","11","64.5","0","64.5","18'08/10"
"18",="8112","至上","05/22","29.65","-0.7","-2.31","2018","27.05","3.95","2.8","0","2.8","10.4","0","10.4","70.9","0","70.9","18'09/12"
"19",="5519","隆大","05/22","14.85","-0.2","-1.33","2018","12.4","1.19","0.4","0","0.4","3.23","0","3.23","33.6","0","33.6","18'10/12"
"20",="6596","寬宏藝術","05/22","49.9","-0.5","-0.99","2018","72.9","4.09","3.5","1","4.5","4.8","1.37","6.17","85.6","24.4","110","18'07/27"
"21",="3028","增你強","05/22","18.9","-0.1","-0.53","2018","21","2.02","1.82","0","1.82","8.67","0","8.67","90.1","0","90.1","18'07/31"
