代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
9188,精熙-DR,0,0,0,0,0,0,0,0,0,0
6523,達爾膚,0,0,0,5,0,,,,,
1439,中和,0,0,0,0,0,0,0,0,0,0
00837B,永豐15年金融債,0,,,,,,,,,
6125,廣運,0,0,0,0,0,0,0,0,0.45,0.5
2020,美亞,0,0,0,0,0,0,0,0,0.8,1
6186,新潤,0,0,0,0.5,0.5,0,0,0,0,0
1465,偉全,0,0,0,0,0,2,0,0,0,0
6292,迅德,0,0,0,0,0,0,0,0,0,0
5604,中連貨,0,0,0,0,0,0,0,0,0,0
8066,來思達,0,0,2,0,0,0,0,0,0,0
2923,鼎固-KY,0,0,0,0,0,0,0.11,0,,
3056,總太,0,0,0,0,1.5,0,0.5,2,0,0
6197,佳必琪,0,0,0,0,0,0,0,0,0,1
2527,宏璟,0,0,0,0,0,0,0,0,0,0
5907,大洋-KY,0,0,0,0,0,0,0,0,,
1611,中電,0,0,0,0,0,0,0,0,0,0
8112,至上,0,0,0,0,0,0,0,0,0,0
5519,隆大,0,0,0,0,0.61,1.5,2.5,3.51,2.69,0.63
6596,寬宏藝術,1,1,1,,,,,,,
3028,增你強,0,0,0,0,0,0,0,0,0,0
3213,茂訊,0,0,0,0,0,0,0,0.5,1.5,0.6
6616,特昇-KY,0,0,0,,,,,,,
4560,強信-KY,0,0,0,0,,,,,,
6128,上福,0,0,0,0,0,0,0,0,0.35,0.4
4995,晶達,0,0,0,0,0,0,0,0,0,
00701,國泰股利精選30,0,0,,,,,,,,
2227,裕日車,0,0,0,0,0,0,0,0,0,0
1341,富林-KY,0,0,,,,,,,,
2467,志聖,0,0,0,0,0,0,0,0,0,0
6486,互動,0,0,0,0,0,,,,,
2548,華固,0,0,0,0,0,0,0,0.2,0.3,0.6
9136,巨騰-DR,0,0,0,0,0,0,0,0,0,0
8049,晶采,0,0,0,0,0,0,0,0,0,0
6005,群益證,0,0.7,0,0,0,0,0,0,0.15,0.84
2488,漢平,0,0,0,0,0,0,0,0,0,0
3441,聯一光,0,0,0,0,0,0,0.3,0.25,0,0
6248,沛波,0,0,0,0,0,0,0,0,0,0
5283,禾聯碩,0,0,1,0.5,0,0,0,0,,
3071,協禧,0,0,0,0,0,0,0,0,0,0
6026,福邦證,0,0,0,0,0,0,0,,0,
6204,艾華,0,0,0,0,0,0,0,0,0,0
5522,遠雄,0,0,0,0,0,0,0,0,0,0
6176,瑞儀,0,0,0,0,0,0,0.3,0.3,0.3,0.3
5353,台林,0,0,0,0,0,0,0,0,0,0
6671,三能-KY,0,0,,,,,,,,
8924,大田,0,0,0,0,0,0,0,0,0,0
8048,德勝,0,0,0,0.3,0,0.7,0,0,0.2,0.8
2546,根基,0,0,0,0,0,0,0,0,0,0
1336,台翰,0,0,0,0,0,0,0,0,0,0
5443,均豪,0,0,0,0,0,0,0,0,0,0
6108,競國,0,0,0,0,0,0,0,0,0,0
2063,世鎧,0,0,0,0.4,0,0.5,0,2,2,1.2
1604,聲寶,0,0,0,0,0,0,0,0,0,0
5356,協益,0,0,0,0,0,0,0,0,0,0
8424,惠普,0,0,0,0,0,1,1,0.5,0,0
3531,先益,0,0,0,0,0,0,0,0,0,0
5534,長虹,0,0,0,0,0.5,0.5,0,0.1,0.1,0.2
2855,統一證,0,0,0.41,0.31,0,0,0,0.3,0.6,0.4
3171,新洲,0,0,0,0,0,0,0,0,0,0
6143,振曜,0,0,0,0,0,0,0,0,1.5,0.1
2477,美隆電,0,0,0,0,0,0,0,0,0,0
8942,森鉅,0,0,0,0,0,0,0,0.51,0,0.3
6266,泰詠,0.73,0,0,0.8,0.48,0.29,0.14,0.31,0.63,0
5511,德昌,0,0,0,0,0,0.5,2.2,2.4,1.6,0
6112,聚碩,1,1,0.5,0.5,0,1,0.5,1,1,0.8
6201,亞弘電,0,0,0,0,0,0,0,0,0,0
4916,事欣科,0,0,1,0,0,0,14,0.5,1,3
3580,友威科,0,0,0,0,0,0,0,0,0,0
6136,富爾特,0,0,0,0,0,0,0,0,1,1
4942,嘉彰,0,0,0,0,0,0,0,0,0.45,2.25
2459,敦吉,0,0,0,0,0,0,0,0,0,0
2915,潤泰全,0,0,0,0,0,0,0,0,0,0
3088,艾訊,0,0,0,0,0,0,0,0,0,0
2348,海悅,0,0,0,0,0,0,0,0,0,0
