代號,名稱,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
3008,大立光,210.7,210.7,193.65,169.47,180.08,144.91,71.64,41.61,38.76,30.15
6669,緯穎,36.42,36.42,11.7,4.46,6.53,2.44,,,,
4966,譜瑞-KY,31.54,31.54,25.49,18.04,15.3,16.48,9.25,17.85,11.48,23.19
6488,環球晶,31.35,31.35,12.68,2.54,5.8,6.6,6.14,,,
3293,鈊象,28.08,28.08,12.97,12.78,4.4,3.28,1.7,4.57,13.35,11.86
6409,旭隼,25.87,25.87,17.46,18.25,19.05,14.33,10.2,9.66,6.66,5.41
6415,矽力-KY,25.83,25.83,21.2,18.72,15.66,10.55,9.59,11.52,-8.12,-7.5
1565,精華,25.53,25.53,31.52,35.26,28.88,31.2,31.7,23.96,21.16,17.3
3406,玉晶光,24.79,24.79,10.5,-1.54,-11.3,-6.95,-3.74,9.04,10.92,6.01
5274,信驊,24.39,24.39,15.7,14.07,10.79,10.72,7.4,6.5,4.77,
2227,裕日車,24.27,24.27,22.14,15.44,13.89,21.75,24.33,16.46,12.77,9.61
8299,群聯,23.05,23.05,29.23,24.67,20.41,17.48,17.57,14.99,14.68,8.57
2207,和泰車,21.55,21.55,18.52,19.66,17.9,16.84,14.01,13.8,12.06,8.89
6121,新普,20.68,20.68,10.18,9.09,10.1,10.98,10.5,10.7,13.16,13.06
3533,嘉澤,20.11,20.11,10.23,7.38,8.52,11.53,7.76,10.14,9.95,14.62
3563,牧德,20.01,20.01,10.86,4.67,3.72,4.03,5.37,4.19,4.76,2.86
5904,寶雅,19.31,19.31,14.63,12.13,10,8.22,6.03,4.67,3.76,3.26
5536,聖暉,19.16,19.16,18.17,9.45,9.02,2.06,10.11,15.09,13.3,19.32
6510,精測,19.07,19.07,23.51,20.04,14.77,8.35,2.62,,,
4137,麗豐-KY,18.02,18.02,7.41,9.19,14.68,9.51,10.25,5.02,,
3611,鼎翰,17.93,17.93,16.02,14.15,15.14,14.66,13.01,8.89,9.19,7.46
8070,長華,17.19,17.19,13.64,11.37,13.57,5.29,5.89,9.35,0.29,14
8436,大江,17.02,17.02,8.23,6.9,4.02,3.08,3.55,4.53,4.7,4.46
6670,復盛應用,16.61,16.61,11.68,13.4,7.91,6.75,,,,
2915,潤泰全,16.52,16.52,15.15,8.4,8.57,8,54.85,4.08,3.43,1.58
2059,川湖,16.35,16.35,9.54,16.49,20.18,18.98,14.89,11.46,9.75,7.66
2327,國巨,16.35,16.35,15.64,6.83,5.48,2.3,0.75,0.5,0.76,1.89
2357,華碩,16.34,16.34,20.93,25.85,23.02,26.21,28.66,29.84,21.99,7.72
1256,鮮活果汁-KY,16.2,16.2,10.01,8.35,7.76,9.85,12.27,5.66,5.54,4.15
5269,祥碩,16.08,16.08,7.23,6.19,3.66,4.04,1.54,4.22,5.08,1.17
1476,儒鴻,15.67,15.67,11.12,13.67,15.99,11.51,10.91,7.75,5.6,3.83
3665,貿聯-KY,15.54,15.54,10.84,9.23,8.3,7.28,7.28,4.19,2.41,7.23
