"排名","代號","名稱","成交","財報年度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="3008","大立光","3840","2013","274","+36.7","130","+55","96.1","+72.2","47.2","+5.57","35","+7.22","71.64","+30","36","+9.88","27.5","+7.63","91"
"2",="6669","緯穎","840","-","","","","","","","","","","","","","","","","",""
"3",="4966","譜瑞-KY","854","2013","42.1","-11.9","18.3","-25.4","6.79","-47.1","43.5","-7.9","16.1","-10.8","9.25","-8.6","18.6","-27.8","15.2","-22.6","68"
"4",="6488","環球晶","365","2013","156","","36.6","","19.5","","23.5","","12.5","","6.14","","14.8","","9.25","","50"
"5",="3293","鈊象","521","2013","15.4","-26.7","12.7","-26.4","1.18","-62.8","82.8","+0.32","7.4","-7.37","1.7","-2.87","4.19","-5.84","3.58","-4.56","64"
"6",="6409","旭隼","760","2013","54.9","+15.3","13.2","+23.7","6.11","+17.4","24.1","+1.64","11.1","+0.2","10.2","+0.54","35.8","-6.05","19","-1.78","61"
"7",="6415","矽力-KY","1370","2013","20.9","+52.3","10.1","+40.5","5.3","+36.8","48.2","-4.05","25.4","-2.88","9.59","-1.93","28.5","-53.8","25.6","-14.3","87"
"8",="1565","精華","358","2013","52.2","+25.3","22.9","+24.2","16","+32.3","43.9","-0.38","30.6","+1.63","31.7","+7.74","45.3","+4.96","28","+1.59","84"
"9",="3406","玉晶光","475","2013","95.9","-15.8","8.29","-68.4","-3.64","-145","8.64","-14.4","-3.82","-10.8","-3.74","-12.8","-4.71","-16.4","-2.49","-8.6","36"
"10",="5274","信驊","1415","2013","5.91","+22","3.2","+18.9","1.71","+26.1","54.2","-1.41","28.9","+0.94","7.4","+0.9","30.2","-1.7","25.4","-0.55","89"
"11",="2227","裕日車","258.5","2013","315","+8.07","54.5","+48.4","73","+47.8","17.3","+4.71","23.2","+6.23","24.33","+7.87","32","+7.39","23.3","+4.3","68"
"12",="8299","群聯","276","2013","322","-2.77","57.2","+13.8","31.7","+17.7","17.8","+2.58","9.85","+1.71","17.57","+2.58","24.1","+0.77","17","+0.64","60"
"13",="2207","和泰車","512","2013","1,465","+5.72","183","+14.2","76.5","+1.51","12.5","+0.93","5.89","-0.24","14.01","+0.21","23.7","-2.09","6.73","-0.9","45"
"14",="6121","新普","309","2013","547","-6.97","61.7","-13","32.4","-1.95","11.3","-0.78","5.91","+0.3","10.5","-0.2","17.9","-1.95","8.52","-1.47","45"
"15",="3533","嘉澤","396.5","2013","80.6","-5.9","24.9","-8.86","7.25","-23.5","30.9","-1","8.87","-2.16","7.76","-2.38","11.1","-4.91","7.4","-3.74","53"
"16",="3563","牧德","332.5","2013","7.16","+49.5","4.32","+57.3","2.05","+45.1","60.3","+2.96","28.7","-0.87","5.37","+1.18","25.4","+0.81","20.2","+1.23","81"
"17",="5904","寶雅","592","2013","72.5","+15.6","28.8","+21.5","5.59","+31.1","39.7","+1.94","7.71","+0.91","6.03","+1.36","29.3","+5.54","15.4","+2.3","55"
"18",="5536","聖暉","210.5","2013","86.6","+4.51","10.4","-24.2","4.66","-33","12","-4.54","5.39","-3.02","10.11","-4.98","16.3","-9.93","6.7","-3.56","43"
"19",="6510","精測","613","2013","7.06","","2.91","","0.56","","41.3","","7.93","","2.62","","17.8","","10.8","","55"
"20",="4137","麗豐-KY","189","2013","27","+114","21.2","+92.3","6.93","+107","78.4","-8.71","25.7","-0.86","10.25","+5.23","35","+1.24","22","+4.87","85"
"21",="3611","鼎翰","192.5","2013","21","+16.5","9.32","+19.5","4.45","+47.3","44.3","+1.11","21.1","+4.43","13.01","+4.12","35.8","+7.6","22.5","+5.59","77"
"22",="8070","長華","157","2013","160","-2.01","13.4","-13.2","4.41","-28.3","8.4","-1.08","3.1","-1.25","5.89","-3.46","9.72","-8.91","4.28","-2.71","32"
"23",="8436","大江","254","2013","14","+21.8","4.65","+11.7","1.44","+7.43","33.1","-2.98","10.2","-1.39","3.55","-0.98","15.4","-8.04","9.72","-1.73","60"
"24",="6670","復盛應用","172","-","","","","","","","","","","","","","","","","",""
"25",="2915","潤泰全","67.1","2013","765","+729","712","+1971","436","+1212","93.1","+55.8","103","+57.1","54.85","+50.8","117","+103","95.5","+86.1","79"
"26",="2059","川湖","320","2013","37.7","+4.99","19.8","+8.59","14","+31.9","52.5","+1.74","37","+7.56","14.89","+3.43","26.6","+1.95","20.6","+3.25","93"
"27",="2327","國巨","371.5","2013","247","+3.88","58","+15.3","14.5","+30.2","23.4","+2.32","5.95","+1.16","0.75","+0.25","4.71","+1.3","2.75","+0.39","49"
"28",="2357","華碩","204.5","2013","4,633","+3.25","600","-1.88","214","-4.51","12.9","-0.68","4.65","-0.38","28.66","-1.18","16.3","-2.21","7.63","-1.54","43"
"29",="1256","鮮活果汁-KY","203.5","2013","17.3","+32.8","5.08","+72","2.16","+133","29.4","+6.7","12.5","+5.34","12.27","+6.61","40.5","+14","24.5","+10.3","68"
"30",="5269","祥碩","1170","2013","11.9","-25.9","4.51","-30.1","0.87","-60","38","-2.28","7.32","-6.23","1.54","-2.68","7.81","-16.9","6.43","-12.8","57"
"31",="1476","儒鴻","294.5","2013","181","+33.7","51.2","+35.6","27.4","+52.8","28.2","+0.39","15.1","+1.88","10.91","+3.16","37.3","+4.79","24.2","+3.59","62"
"32",="3665","貿聯-KY","184.5","2013","71.1","+22.6","19.6","+34.3","5.64","+95.8","27.5","+2.4","7.92","+2.96","7.28","+3.09","18.2","+7.07","11.9","+5.06","51"
"33",="2729","瓦城","225","2013","23.1","+20.8","12.2","+21.8","2.44","+33.3","52.8","+0.39","10.6","+0.99","10.5","+1.05","14.3","-2.97","12.2","-1.67","77"
