代號,名稱,EPS,DividendYield,CashDividend,StockDividend,beta值,三大法人買賣超,十年填權息平均天數,十年填權息成功率
3008,大立光,2.0,1000.0,1.0,145.0,18.0,837.0,1279.0,1.0
6669,緯穎,14.0,1053.0,1081.0,145.0,166.0,1579.0,344.0,1379.0
4966,譜瑞-KY,6.0,999.0,42.0,145.0,90.0,1594.0,1122.0,705.0
6488,環球晶,19.0,525.0,14.0,145.0,55.0,1574.0,818.0,1043.0
3293,鈊象,34.0,343.0,24.0,145.0,190.0,323.0,394.0,1.0
6409,旭隼,16.0,806.0,5.0,145.0,260.0,344.0,1181.0,829.0
6415,矽力-KY,31.0,1047.0,99.0,145.0,123.0,279.0,618.0,943.0
1565,精華,4.0,716.0,2.0,145.0,199.0,1402.0,1293.0,1.0
3406,玉晶光,142.0,1053.0,1081.0,145.0,4.0,48.0,1488.0,1043.0
5274,信驊,26.0,966.0,17.0,145.0,167.0,1517.0,801.0,705.0
2227,裕日車,9.0,142.0,3.0,145.0,195.0,398.0,438.0,624.0
8299,群聯,8.0,586.0,10.0,145.0,68.0,1650.0,583.0,1.0
2207,和泰車,13.0,801.0,12.0,145.0,26.0,141.0,976.0,1.0
6121,新普,28.0,537.0,32.0,145.0,178.0,155.0,23.0,1.0
3533,嘉澤,36.0,619.0,78.0,145.0,106.0,1529.0,1000.0,1.0
3563,牧德,84.0,447.0,52.0,145.0,31.0,1530.0,314.0,1.0
5904,寶雅,50.0,783.0,33.0,123.0,259.0,1409.0,1078.0,1.0
5536,聖暉,22.0,90.0,19.0,145.0,222.0,1460.0,80.0,1.0
6510,精測,15.0,1053.0,48.0,145.0,67.0,1516.0,1365.0,1043.0
4137,麗豐-KY,39.0,708.0,25.0,145.0,143.0,1488.0,304.0,1009.0
3611,鼎翰,23.0,477.0,22.0,145.0,138.0,1186.0,686.0,1.0
8070,長華,45.0,182.0,37.0,145.0,184.0,1219.0,161.0,1.0
8436,大江,100.0,1042.0,454.0,6.0,89.0,1532.0,777.0,807.0
6670,復盛應用,33.0,1053.0,1081.0,145.0,208.0,196.0,662.0,1379.0
2915,潤泰全,20.0,581.0,235.0,145.0,294.0,1693.0,328.0,1.0
2059,川湖,17.0,932.0,35.0,145.0,269.0,358.0,898.0,1.0
2327,國巨,122.0,547.0,8.0,145.0,12.0,1684.0,1265.0,774.0
2357,華碩,5.0,273.0,4.0,145.0,237.0,1491.0,827.0,1.0
1256,鮮活果汁-KY,58.0,916.0,124.0,145.0,172.0,691.0,276.0,901.0
5269,祥碩,127.0,998.0,125.0,145.0,107.0,584.0,676.0,705.0
1476,儒鴻,42.0,900.0,40.0,98.0,86.0,94.0,1236.0,1.0
3665,貿聯-KY,66.0,468.0,80.0,145.0,66.0,113.0,519.0,624.0
2729,瓦城,30.0,624.0,16.0,145.0,219.0,1178.0,764.0,705.0
5278,尚凡,281.0,1053.0,1081.0,145.0,119.0,602.0,90.0,1162.0
8464,億豐,37.0,1053.0,1081.0,145.0,70.0,117.0,1461.0,1162.0
8437,大地-KY,46.0,879.0,71.0,145.0,226.0,1476.0,773.0,1112.0
2404,漢唐,130.0,34.0,116.0,145.0,170.0,1592.0,296.0,1.0
2454,聯發科,11.0,546.0,6.0,145.0,78.0,9.0,363.0,1.0
6613,朋億,35.0,1053.0,1081.0,145.0,221.0,646.0,1350.0,1354.0
2474,可成,7.0,793.0,31.0,145.0,92.0,1698.0,1319.0,1.0
1590,亞德客-KY,43.0,962.0,75.0,145.0,15.0,1615.0,889.0,553.0
5287,數字,25.0,467.0,9.0,145.0,248.0,584.0,905.0,1009.0
1264,德麥,29.0,450.0,11.0,145.0,282.0,1061.0,125.0,1043.0
4439,冠星-KY,18.0,1053.0,1081.0,145.0,42.0,650.0,1552.0,1552.0
2492,華新科,351.0,883.0,94.0,145.0,24.0,1681.0,386.0,943.0
4420,光明,322.0,341.0,607.0,145.0,294.0,1176.0,437.0,1.0
2379,瑞昱,111.0,497.0,95.0,145.0,71.0,510.0,810.0,1.0
2330,台積電,53.0,800.0,68.0,145.0,98.0,4.0,930.0,1.0
6414,樺漢,55.0,935.0,39.0,145.0,14.0,236.0,1261.0,829.0
3034,聯詠,61.0,277.0,38.0,145.0,137.0,72.0,722.0,1.0
8406,金可-KY,27.0,981.0,58.0,145.0,126.0,1518.0,1242.0,807.0
5289,宜鼎,76.0,594.0,134.0,42.0,114.0,1361.0,579.0,829.0
6176,瑞儀,64.0,192.0,65.0,145.0,145.0,1492.0,1063.0,1.0
6462,神盾,296.0,1053.0,1081.0,145.0,32.0,200.0,1066.0,1379.0
2439,美律,86.0,233.0,60.0,145.0,124.0,1593.0,904.0,1.0
1537,廣隆,65.0,194.0,47.0,145.0,263.0,1355.0,678.0,1.0
6803,崑鼎,44.0,331.0,18.0,145.0,273.0,1105.0,247.0,1.0
