代號,名稱,EPS,DividendYield,CashDividend,StockDividend,beta值,三大法人買賣超,十年填權息平均天數,十年填權息成功率
3008,大立光,2,1000,1,145,18,837,1279,1
6669,緯穎,14,1053,1081,145,166,1579,344,1379
4966,譜瑞-KY,6,999,42,145,90,1594,1122,705
6488,環球晶,19,525,14,145,55,1574,818,1043
3293,鈊象,34,343,24,145,190,323,394,1
6409,旭隼,16,806,5,145,260,344,1181,829
6415,矽力-KY,31,1047,99,145,123,279,618,943
1565,精華,4,716,2,145,199,1402,1293,1
3406,玉晶光,142,1053,1081,145,4,48,1488,1043
5274,信驊,26,966,17,145,167,1517,801,705
2227,裕日車,9,142,3,145,195,398,438,624
8299,群聯,8,586,10,145,68,1650,583,1
2207,和泰車,13,801,12,145,26,141,976,1
6121,新普,28,537,32,145,178,155,23,1
3533,嘉澤,36,619,78,145,106,1529,1000,1
3563,牧德,84,447,52,145,31,1530,314,1
5904,寶雅,50,783,33,123,259,1409,1078,1
5536,聖暉,22,90,19,145,222,1460,80,1
6510,精測,15,1053,48,145,67,1516,1365,1043
4137,麗豐-KY,39,708,25,145,143,1488,304,1009
3611,鼎翰,23,477,22,145,138,1186,686,1
8070,長華,45,182,37,145,184,1219,161,1
8436,大江,100,1042,454,6,89,1532,777,807
6670,復盛應用,33,1053,1081,145,208,196,662,1379
2915,潤泰全,20,581,235,145,294,1693,328,1
2059,川湖,17,932,35,145,269,358,898,1
2327,國巨,122,547,8,145,12,1684,1265,774
2357,華碩,5,273,4,145,237,1491,827,1
1256,鮮活果汁-KY,58,916,124,145,172,691,276,901
5269,祥碩,127,998,125,145,107,584,676,705
1476,儒鴻,42,900,40,98,86,94,1236,1
3665,貿聯-KY,66,468,80,145,66,113,519,624
2729,瓦城,30,624,16,145,219,1178,764,705
5278,尚凡,281,1053,1081,145,119,602,90,1162
8464,億豐,37,1053,1081,145,70,117,1461,1162
8437,大地-KY,46,879,71,145,226,1476,773,1112
2404,漢唐,130,34,116,145,170,1592,296,1
2454,聯發科,11,546,6,145,78,9,363,1
6613,朋億,35,1053,1081,145,221,646,1350,1354
2474,可成,7,793,31,145,92,1698,1319,1
1590,亞德客-KY,43,962,75,145,15,1615,889,553
5287,數字,25,467,9,145,248,584,905,1009
1264,德麥,29,450,11,145,282,1061,125,1043
4439,冠星-KY,18,1053,1081,145,42,650,1552,1552
2492,華新科,351,883,94,145,24,1681,386,943
4420,光明,322,341,607,145,294,1176,437,1
2379,瑞昱,111,497,95,145,71,510,810,1
2330,台積電,53,800,68,145,98,4,930,1
6414,樺漢,55,935,39,145,14,236,1261,829
3034,聯詠,61,277,38,145,137,72,722,1
8406,金可-KY,27,981,58,145,126,1518,1242,807
5289,宜鼎,76,594,134,42,114,1361,579,829
6176,瑞儀,64,192,65,145,145,1492,1063,1
6462,神盾,296,1053,1081,145,32,200,1066,1379
2439,美律,86,233,60,145,124,1593,904,1
1537,廣隆,65,194,47,145,263,1355,678,1
6803,崑鼎,44,331,18,145,273,1105,247,1
2929,淘帝-KY,40,592,93,145,294,1508,724,1158
3324,雙鴻,256,937,627,145,48,162,450,705
5871,中租-KY,125,711,263,145,63,37,486,705
4803,VHQ-KY,85,1053,1081,145,49,1183,1504,1245
3044,健鼎,92,487,154,145,95,1695,783,1
2548,華固,57,42,63,145,258,1641,131,1
1558,伸興,32,124,21,145,261,1315,541,1
3131,弘塑,24,259,20,145,50,1500,440,1
5534,長虹,52,32,54,145,233,1539,173,1
6569,醫揚,70,1053,55,145,270,1101,454,1245
8422,可寧衛,41,297,15,145,276,1316,512,677
5283,禾聯碩,133,558,200,145,211,364,918,829
3105,穩懋,195,870,322,145,33,40,885,553
2707,晶華,54,612,13,30,189,431,216,1
2395,研華,82,833,64,145,188,150,670,1
6666,羅麗芬-KY,148,1053,1081,145,149,1052,1552,1552
1439,中和,285,6,435,145,294,178,110,829
8016,矽創,137,425,141,145,38,1584,599,1
8446,華研,174,689,112,145,215,1386,469,931
4766,南寶,47,1053,1081,145,205,285,594,1379
2383,台光電,135,346,257,145,41,89,910,1
2912,統一超,51,783,23,145,274,1673,1064,1
1580,新麥,49,257,27,91,216,1536,266,1
6269,台郡,72,750,214,70,56,69,402,1
6456,GIS-KY,10,633,97,145,62,33,1343,1162
8454,富邦媒,95,807,44,145,285,241,866,943
4958,臻鼎-KY,120,717,224,145,28,83,1077,705
6643,M31,81,1053,1081,145,46,569,1253,1379
4438,廣越,67,1053,62,145,206,413,1291,1245
2732,六角,87,752,160,145,104,1450,464,901
1707,葡萄王,103,723,91,145,256,1525,848,1
4536,拓凱,110,687,101,145,140,1531,623,774
5288,豐祥-KY,97,549,121,145,198,266,1095,1112
5434,崇越,129,205,139,145,168,219,588,1
6452,康友-KY,38,921,28,145,111,1179,720,1112
8416,實威,93,316,72,145,217,609,447,624
6538,倉和,132,1053,236,145,84,1413,479,1162
3152,璟德,74,612,29,145,112,254,238,1
9945,潤泰新,83,382,304,145,294,49,1024,705
9941,裕融,136,382,118,145,156,322,385,1
4163,鐿鈦,141,829,161,145,207,523,434,774
8083,瑞穎,102,335,59,145,281,548,626,1
9921,巨大,75,855,72,145,124,42,1366,1
3708,上緯投控,198,1053,1081,145,94,144,1237,1282
2345,智邦,362,267,382,145,153,125,550,1
6294,智基,233,1053,1081,145,272,399,455,1454
8341,日友,160,874,266,145,250,353,1211,943
2308,台達電,101,718,79,145,165,14,562,1
6568,宏觀,69,1053,100,145,93,1293,1483,1162
