,代號1,名稱1,代號2,名稱2
0,6732,昇佳電子,0056,元大高股息
1,6598,ABC-KY,00661,元大日經225
2,008201,BP上證50,00668,國泰美國道瓊
3,0050,元大台灣50,00646,元大S&P500
4,00768B,FH20年美債,00762,元大全球AI
5,00759B,FH製藥債,00657,國泰日經225
6,00789B,FH公司債A3,00708L,元大S&P黃金正2
7,0052,富邦科技,00770,國泰北美科技
8,2891B,中信金乙特,00753L,中信中國50正2
9,00790B,FH次順位IG金融債,00678,群益NBI生技
10,00760B,FH新興企業債,00875,國泰網路資安
11,2881A,富邦特,00752,中信中國50
12,2881B,富邦金乙特,0054,元大台商50
13,2882A,國泰特,00635U,元大S&P黃金
14,2882B,國泰金乙特,910322,康師傅-DR
15,2891C,中信金丙特,00851,台新全球AI
16,00758B,FH能源債,00660,元大歐洲50
17,00791B,FH美元信用債1-5Y,00690,兆豐藍籌30
18,0057,富邦摩台,00692,富邦公司治理
19,006204,永豐臺灣加權,00737,國泰AI+Robo
20,2887E,台新戊特,006207,FH滬深
21,1101B,台泥乙特,020004,兆豐電菁英30N
22,2002A,中鋼特,00650L,FH香港正2
23,2838A,聯邦銀甲特,00850,元大臺灣ESG永續
24,9941A,裕融甲特,00711B,FH彭博新興債
25,2887F,台新戊特二,00733,富邦臺灣中小
26,8916A,光隆甲特,020006,永昌中小300N
27,00779B,凱基美債25+,020007,凱基臺灣500N
28,00764B,群益25年美債,00703,台新MSCI中國
29,006208,富邦台50,00739,元大MSCIA股
30,00670L,富邦NASDAQ正2,00861,元大全球未來通訊
31,00696B,富邦美債20年,00665L,富邦恒生國企正2
32,00687B,國泰20年美債,00742,新光內需收益
33,3702A,大聯大甲特,00734B,台新JPM新興債
34,00747B,FH中國政策債,00858,永豐美國500大
35,00832B,新光美債20+,00701,國泰股利精選30
36,00722B,群益15年IG電信債,00743,國泰中國A150
37,00754B,群益AAA-AA公司債,00735,國泰臺韓科技
38,00761B,國泰A級公司債,00636,國泰中國A50
39,00631L,元大台灣50正2,00645,富邦日本
